id,text,language,hate_type,target_group,severity,confidence,source_dataset
0,ইনিই হচ্ছেন ভারতের প্রতিরক্ষামন্ত্রী মনোহর পারিকর  এই কদিন আগেই যিনি ঘোষনা দেন বাংলাদেশ দখল করে মহাভারত গঠন করবেন আশ্চর্য তিনিই কিনা আমাদের বরেন্য রাষ্ট্রীয় অতিথি,bangla,5,-1,1,1.0,bengali_hate_v1
1, রেন্ডিয়াকে পৃথীবির মানচিএ থেকে মুচে ফেলতে হবে  ,bangla,5,-1,1,1.0,bengali_hate_v1
2,এই মালাউনরা বাংগালিদের সাফল্য দেখে হিংসা করে বাহির দেশে বাংলাদেশীদের দেখতে পারেনা এই একটি মাএ জাতি সুতরাং সাবধান ,bangla,2,-1,1,1.0,bengali_hate_v1
3,আমরা বলতে কারা ভারত তাইতো ,bangla,5,-1,1,1.0,bengali_hate_v1
4,পাকিস্তান আমার বাল ,bangla,5,-1,1,1.0,bengali_hate_v1
5,তোদের মতো কুত্তার বাচ্চারা সোনিকার মতো মেয়েরা পাইলে শিওর গ্যাংব্যাং দিবি,bangla,4,-1,3,1.0,bengali_hate_v1
6,খানকির পোলা রোহিঙ্গারা বাংলাদেশে ঢুকলে কি তোর কোন সমস্যা ,bangla,3,-1,3,1.0,bengali_hate_v1
7,ভারত মোদের বাঁশভাই দাদারা আসারদরকার নাই ও আশামানে যেকোনভাবে বাংদেশেরকে বাশদিয়েজাবে ,bangla,5,-1,1,1.0,bengali_hate_v1
8,এদের কে চোদ্দ বছরে ফাসি দেয়া হোক,bangla,4,-1,3,1.0,bengali_hate_v1
9,এজন্য ভারত বাংলাদেশে এসে হোয়াইট ওয়াস হয়েগেছে মনে নেই ,bangla,5,-1,1,1.0,bengali_hate_v1
10,খানকির পোলাদের মাইরা ফালা রোহিঙ্গা সব বিতাড়িত করা দরকার ,bangla,3,-1,3,1.0,bengali_hate_v1
11,অস্ত্র নির্মান কোন ছোটখাট বিষয় নয় ইহা ভারতিও রাস্টিয় সহায়তা ছারা সম্বভ না,bangla,5,-1,1,1.0,bengali_hate_v1
12,এইসব ঐক্যধারীরা বাংলাদেশের একটা ওয়ার্ডের চৌকিদার হওয়ারো যোগ্যতা রাখে না   ,bangla,1,-1,1,1.0,bengali_hate_v1
13,রাজাকার ভাই আপনি খুব উপযুক্ত,bangla,1,-1,1,1.0,bengali_hate_v1
14,আর মানুষ পাইলি না জাফর বালডা রে কল দিছোস ,bangla,4,-1,1,1.0,bengali_hate_v1
15,মাহি বি চোধুরী  এ তো দেখি পুরাই আওয়ামী দালাল   ,bangla,1,-1,1,1.0,bengali_hate_v1
16,যখন পাকিস্তানের দখলে ছিল বাংলাদেশ তখন কিরকম অতযাচার করেছিল পাকিস্তান ,bangla,5,-1,1,1.0,bengali_hate_v1
17,সত্য ঘটনা  একবার নিবেদিতা হরিয়ানার ময়দানে ইজি চেয়ারে গভীর রাতে বসেছিলেন হঠাত তিনি শুনতে পান যদাযদাহি তাঁর মনে হল ঐ ময় দানের বাঁদিক থেকে ওই মন্ত্র উচ্চারিত হচ্ছে   তিনি ছুটে যান ঐদিকে কিন্তু না অন্য প্রান্তে থেকে সুর ভেসে আসে পরে তিনি মাঝখানে এলেন তিনি শুনতে পেলেন সকল দিক থেকে সুর ভেসে আসছে  তিনি বললেন মহাভারত সত্য কৃষ্ণ সত্য যুদ্ধ সত্য  তিনি আপত্ত জন তাই তাঁর কথা বিশ্বাস করতে ই হবে   প্রমাণের দরকার হয় না  ,bangla,5,-1,1,1.0,bengali_hate_v1
18,জাহান্নামের কীট ভারতীয় মালাউন টা না মরে হাজার মরলে বেশী খুশি হতাম ,bangla,5,-1,1,1.0,bengali_hate_v1
19,সালা পাগল হিন্দু রা বাংলাদেশে যেভাবে শান্তিতে থাকে ভারতেও এভাবে থাকে না,bangla,2,-1,2,1.0,bengali_hate_v1
20,সাবাস পাকিস্তান বাংলাদেশ যেখানে ভারতীয় জানোয়ার গুলির,bangla,5,-1,1,1.0,bengali_hate_v1
21,কিছুই হবেনা  সব মিডিয়ার বাড়াবাড়ি  ভারত পাকিস্তানকে পাগলা কুত্তায় কামড়ায়নি যে একজন আরেকজনকে ভয়াবহ আক্রমণ করবে  ওইরকম মাঝেমাঝে দুইচারআটদশজন মরবে  তার বেশিকিছু হবেনা,bangla,5,-1,3,1.0,bengali_hate_v1
22,আজকের সো বালের হইছে  জমে নাই ,bangla,4,-1,1,1.0,bengali_hate_v1
23,মানুষের জীবনটা অভিনয় তবে আপনাদের অভিনয় দেখার জন্য লক্ষ কোটি মানুষ পাগল  বাংলাদেশের বাংলা সিনেমার তারকাদের অভিনয় জনপ্রিয় হয় ওঠেছে  বাংলাদেশের বাংলা সিনেমায় জনপ্রিয় অভিনেতা অভিনেত্রী জম্ম হয়েছে  বর্তমানের বাংলাদেশের বাংলা সিনেমা ভারতীয় সিনেমার চেয়ে কোনো অংশে কম নয়  অবশেষে ভারতের সাথে যৌথ পরিচালনা সিনেমা করাতে ভারতে ও বাংলাদেশের বাংলা সিনেমার জনপ্রিয় হচ্ছে  দুই বাংলা এক সাথে কাজ করা,bangla,5,-1,2,1.0,bengali_hate_v1
24,ভারত আসলে পাকিস্তান কে কি পরিমাণ ভয় পায় তা আর বলার অপেক্ষা রাখেনা,bangla,5,-1,1,1.0,bengali_hate_v1
